Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
4,4,police,police
5,5,pensais,thought
6,6,aide,help
8,8,mois,month
10,11,mettre,to put
12,13,laisse,leash
14,16,chaque,each
15,17,parlé,speak
16,18,arrivé,come
17,19,devrait,should
18,20,bébé,baby
19,21,longtemps,long time
20,23,vont,will
21,24,pendant,while
22,25,aucune,any
23,26,place,square
24,27,parle,speak
25,28,compris,understood
26,29,étaient,were
27,30,voici,here is
28,31,pourrais,could
29,32,affaire,case
30,33,donner,give
31,34,type,type
32,35,leurs,their
33,36,donné,given
34,37,train,train
35,38,corps,body
36,39,endroit,place
37,40,yeux,eyes
38,41,façon,way
39,42,écoute,listen
40,43,dont,whose
41,44,trouve,find
42,45,premier,first
43,46,perdu,lost
44,47,main,hand
45,48,première,first
46,49,côté,side
47,50,pouvoir,power
48,51,vieux,old
49,52,sois,be
50,53,tiens,here
51,54,matin,morning
52,55,tellement,so much
53,56,enfant,child
55,58,suite,after
56,59,pardon,sorry
57,60,venez,come
58,61,devant,in front of
59,62,vers,towards
60,63,minutes,minutes
62,65,chambre,bedroom
63,66,mis,placed
64,67,belle,beautiful
66,69,aimerais,would like to
67,70,cause,cause
68,71,enfin,finally
69,72,espère,hope
70,73,eau,water
71,74,attendez,Wait
72,75,nouvelle,new
73,76,boulot,job
74,77,arrêter,Stop
76,79,terre,Earth
77,80,compte,account
78,82,loin,far
79,83,fin,end
80,84,croire,believe
81,85,chérie,sweetheart
82,86,gros,large
83,87,plutôt,rather
85,90,jouer,to play
86,91,bureau,office
